Month,Rainfall (in mm)
31-01-1901,34.54987216
28-02-1901,7.518799543
31-03-1901,4.8116045
30-04-1901,0
31-05-1901,0.671333253
30-06-1901,29.34695841
31-07-1901,111.1038178
31-08-1901,149.8050844
30-09-1901,4.427325308
31-10-1901,0
30-11-1901,0
31-12-1901,5.211520195
31-01-1902,0
28-02-1902,0
31-03-1902,1.105081081
30-04-1902,5.34506923
31-05-1902,4.918618679
30-06-1902,64.99926421
31-07-1902,158.2527003
31-08-1902,189.2014991
30-09-1902,48.73637147
31-10-1902,10.82334137
30-11-1902,0
31-12-1902,0
31-01-1903,19.39911373
28-02-1903,0
31-03-1903,0.166079119
30-04-1903,0
31-05-1903,1.672074735
30-06-1903,0.832363784
31-07-1903,101.117421
31-08-1903,99.34915055
30-09-1903,37.44920056
31-10-1903,9.58322674
30-11-1903,0
31-12-1903,0
31-01-1904,3.895182848
29-02-1904,0
31-03-1904,58.09157425
30-04-1904,0
31-05-1904,19.38513169
30-06-1904,6.236296743
31-07-1904,123.299711
31-08-1904,106.7657022
30-09-1904,165.09361
31-10-1904,0
30-11-1904,7.20429188
31-12-1904,22.29660094
31-01-1905,35.98579593
28-02-1905,15.49653719
31-03-1905,12.66316101
30-04-1905,11.44217062
31-05-1905,18.8443171
30-06-1905,28.84000337
31-07-1905,83.55494022
31-08-1905,44.32713918
30-09-1905,95.07440436
31-10-1905,0
30-11-1905,0
31-12-1905,0.243117362
31-01-1906,1.884360194
28-02-1906,57.72657311
31-03-1906,20.22835207
30-04-1906,1.592828989
31-05-1906,4.334905624
30-06-1906,200.6880477
31-07-1906,185.204834
31-08-1906,109.1717651
30-09-1906,235.5438797
31-10-1906,0
30-11-1906,0
31-12-1906,12.66197109
31-01-1907,22.14907618
28-02-1907,48.61042345
31-03-1907,13.54124952
30-04-1907,57.21415895
31-05-1907,11.16488564
30-06-1907,0.308152944
31-07-1907,66.95473669
31-08-1907,147.6790585
30-09-1907,0
31-10-1907,0
30-11-1907,0
31-12-1907,0
31-01-1908,20.19873089
29-02-1908,6.685602546
31-03-1908,0
30-04-1908,0.272717237
31-05-1908,12.55801678
30-06-1908,3.674001038
31-07-1908,268.6601396
31-08-1908,343.0843455
30-09-1908,6.571414351
31-10-1908,0
30-11-1908,1.553072572
31-12-1908,1.844300985
31-01-1909,17.47991769
28-02-1909,5.476485252
31-03-1909,0
30-04-1909,72.90447855
31-05-1909,4.52396813
30-06-1909,109.8360164
31-07-1909,197.9481068
31-08-1909,66.25218195
30-09-1909,120.8593124
31-10-1909,1.93985486
30-11-1909,0
31-12-1909,43.30308914
31-01-1910,17.38409495
28-02-1910,2.849068969
31-03-1910,0
30-04-1910,1.682899967
31-05-1910,6.394168019
30-06-1910,12.11150649
31-07-1910,151.523509
31-08-1910,160.1723568
30-09-1910,145.6415445
31-10-1910,88.25089526
30-11-1910,0
31-12-1910,0.368129522
31-01-1911,65.02097559
28-02-1911,0
31-03-1911,47.98800328
30-04-1911,0.110054635
31-05-1911,0
30-06-1911,95.78653105
31-07-1911,60.42942649
31-08-1911,4.006165266
30-09-1911,246.7773483
31-10-1911,37.35480261
30-11-1911,25.30305715
31-12-1911,0
31-01-1912,35.2566545
29-02-1912,21.71791077
31-03-1912,13.38126707
30-04-1912,11.00261645
31-05-1912,7.025614351
30-06-1912,2.684981868
31-07-1912,169.5554449
31-08-1912,263.4084027
30-09-1912,213.6839702
31-10-1912,0
30-11-1912,0
31-12-1912,0
31-01-1913,0.228384838
28-02-1913,39.93272495
31-03-1913,18.72990116
30-04-1913,1.27842772
31-05-1913,68.03351083
30-06-1913,155.6591092
31-07-1913,123.5305613
31-08-1913,63.60848334
30-09-1913,5.592639923
31-10-1913,0
30-11-1913,2.021989107
31-12-1913,10.76241815
31-01-1914,0
28-02-1914,2.916327417
31-03-1914,12.63636222
30-04-1914,20.83475453
31-05-1914,35.06801534
30-06-1914,27.97636425
31-07-1914,359.3728396
31-08-1914,113.809916
30-09-1914,211.1376892
31-10-1914,19.18340731
30-11-1914,6.266385555
31-12-1914,0
31-01-1915,31.49897581
28-02-1915,76.01893181
31-03-1915,34.75075841
30-04-1915,12.00642347
31-05-1915,0.917270571
30-06-1915,19.02470177
31-07-1915,155.8697139
31-08-1915,87.44402616
30-09-1915,75.48263191
31-10-1915,2.530107677
30-11-1915,0
31-12-1915,3.038900614
31-01-1916,0
29-02-1916,32.20052505
31-03-1916,0
30-04-1916,5.930239126
31-05-1916,11.11414099
30-06-1916,96.04162629
31-07-1916,196.7880661
31-08-1916,309.4199953
30-09-1916,164.4843209
31-10-1916,35.1274811
30-11-1916,0
31-12-1916,0
31-01-1917,22.55994828
28-02-1917,11.80348361
31-03-1917,3.330089986
30-04-1917,35.18106523
31-05-1917,112.8966811
30-06-1917,75.25087434
31-07-1917,98.22887291
31-08-1917,162.7962664
30-09-1917,308.6979334
31-10-1917,68.59362602
30-11-1917,0
31-12-1917,2.373845458
31-01-1918,9.832734585
28-02-1918,0
31-03-1918,15.32232885
30-04-1918,17.01109052
31-05-1918,12.6519289
30-06-1918,57.9763846
31-07-1918,10.25582432
31-08-1918,118.4193401
30-09-1918,16.40795565
31-10-1918,0
30-11-1918,0
31-12-1918,0
31-01-1919,117.1710745
28-02-1919,7.341545403
31-03-1919,16.30314684
30-04-1919,0.407635331
31-05-1919,20.18009965
